Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize
NFO,45686,75,NIFTY,NIFTY13MAR25C26000,2025-03-13,OPTIDX,CE,26000.0,0.05
NFO,45685,75,NIFTY,NIFTY13MAR25P25950,2025-03-13,OPTIDX,PE,25950.0,0.05
NFO,45684,75,NIFTY,NIFTY13MAR25C25950,2025-03-13,OPTIDX,CE,25950.0,0.05
NFO,45683,75,NIFTY,NIFTY13MAR25P25900,2025-03-13,OPTIDX,PE,25900.0,0.05
NFO,45682,75,NIFTY,NIFTY13MAR25C25900,2025-03-13,OPTIDX,CE,25900.0,0.05
NFO,45681,75,NIFTY,NIFTY13MAR25P25850,2025-03-13,OPTIDX,PE,25850.0,0.05
NFO,45680,75,NIFTY,NIFTY13MAR25C25850,2025-03-13,OPTIDX,CE,25850.0,0.05
NFO,45679,75,NIFTY,NIFTY13MAR25P25800,2025-03-13,OPTIDX,PE,25800.0,0.05
NFO,45678,75,NIFTY,NIFTY13MAR25C25800,2025-03-13,OPTIDX,CE,25800.0,0.05
NFO,45677,75,NIFTY,NIFTY13MAR25P25750,2025-03-13,OPTIDX,PE,25750.0,0.05
NFO,45676,75,NIFTY,NIFTY13MAR25C25750,2025-03-13,OPTIDX,CE,25750.0,0.05
NFO,45675,75,NIFTY,NIFTY13MAR25P25700,2025-03-13,OPTIDX,PE,25700.0,0.05
NFO,45674,75,NIFTY,NIFTY13MAR25C25700,2025-03-13,OPTIDX,CE,25700.0,0.05
NFO,45673,75,NIFTY,NIFTY13MAR25P25650,2025-03-13,OPTIDX,PE,25650.0,0.05
NFO,45672,75,NIFTY,NIFTY13MAR25C25650,2025-03-13,OPTIDX,CE,25650.0,0.05
NFO,45671,75,NIFTY,NIFTY13MAR25P25600,2025-03-13,OPTIDX,PE,25600.0,0.05
NFO,45670,75,NIFTY,NIFTY13MAR25C25600,2025-03-13,OPTIDX,CE,25600.0,0.05
NFO,45669,75,NIFTY,NIFTY13MAR25P25550,2025-03-13,OPTIDX,PE,25550.0,0.05
NFO,45668,75,NIFTY,NIFTY13MAR25C25550,2025-03-13,OPTIDX,CE,25550.0,0.05
